ID,OUTabstract,OUTtext,outMA,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotectionBroad,MPAprotection,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,data origin,direction,quantitative,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD,AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControlSD,ei,vei,comment
71,out,out,out,WoS,,J,"Serra, Ilia Anna; Lauritano, Chiara; Dattolo, Emanuela; Puoti, Andrea; Nicastro, Silvia; Innocenti, Anna Maria; Procaccini, Gabriele","Serra, Ilia Anna; Lauritano, Chiara; Dattolo, Emanuela; Puoti, Andrea; Nicastro, Silvia; Innocenti, Anna Maria; Procaccini, Gabriele","Reference genes assessment for the seagrass Posidonia oceanica in different salinity, pH and light conditions",MARINE BIOLOGY,,"The stability on the expression level of putative reference genes (RGs) for reverse transcriptase-quantitative PCR (RT-qPCR) was tested in the seagrass Posidonia oceanica for plants collected in different environmental conditions (at different depths and in different salinity and pH). Besides adult plants, seedlings were also used for pH and salinity experiments. The putative RGs encompassed the most frequently used in other species to normalize RT-qPCR in a range of experimental conditions. Assignment of the best RGs has been performed with three Excel-based applets, BestKeeper, geNorm and NormFinder, and the results showed that best RGs may change depending on the experimental conditions tested, plant age and on the software utilized. Preferred sets of RGs are proposed for each of the conditions and a general procedure concerning their selection is discussed. In addition, expression levels of four genes involved in plant response to light, salinity and pH variation have also been evaluated.",30,2012,10.1007/s00227-012-1907-8,WOS:000303472100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,in,out,out,WoS,yes,J,"Unsworth, Richard K. F.; Collier, Catherine J.; Henderson, Gideon M.; McKenzie, Len J.","Unsworth, Richard K. F.; Collier, Catherine J.; Henderson, Gideon M.; McKenzie, Len J.",Tropical seagrass meadows modify seawater carbon chemistry: implications for coral reefs impacted by ocean acidification,ENVIRONMENTAL RESEARCH LETTERS,,"Highly productive tropical seagrasses often live adjacent to or among coral reefs and utilize large amounts of inorganic carbon. In this study, the effect of seagrass productivity on seawater carbonate chemistry and coral calcification was modelled on the basis of an analysis of published data.Published data (11 studies, 64 records) reveal that seagrass meadows in the Indo-Pacific have an 83% chance of being net autotrophic, resulting in an average net sink of 155 gC m(-2) yr(-1). The capacities for seagrass productivity were analysed using an empirical model to examine the effect on seawater carbonate chemistry. Our analyses indicate that increases in pH of up to 0.38 units, and Omega(arag) increases of 2.9 are possible in the presence of seagrass meadows (compared to their absence) with the precise values of these increases dependent on water residence time (tidal flushing) and water depth. In shallow water reef environments, Scleractinian coral calcification downstream of seagrass has the potential to be approximate to 18% greater than in an environment without seagrass. If this potential benefit to reef calcifiers is supported by further study it offers a potential tool in marine park management at a local scale. The applicability of this will depend upon local physical conditions as well as the spatial configuration of habitats, and the factors that influence their productivity. This novel study suggests that, in addition to their importance to fisheries, sediment stabilization and primary production, seagrass meadows may enhance coral reef resilience to future ocean acidification.",105,2012,10.1088/1748-9326/7/2/024026,WOS:000307590300029,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,the results are based on model outcomes
73,out,out,out,WoS,,J,"Roleda, Michael Y.; Morris, Jaz N.; McGraw, Christina M.; Hurd, Catriona L.","Roleda, Michael Y.; Morris, Jaz N.; McGraw, Christina M.; Hurd, Catriona L.","Ocean acidification and seaweed reproduction: increased CO2 ameliorates the negative effect of lowered pH on meiospore germination in the giant kelp Macrocystis pyrifera (Laminariales, Phaeophyceae)",GLOBAL CHANGE BIOLOGY,,"The worldwide effects of ocean acidification (OA) on marine species are a growing concern. In temperate coastal seas, seaweeds are dominant primary producers that create complex habitats and supply energy to higher trophic levels. Studies on OA and macroalgae have focused on calcifying species and adult stages, but critically, they have overlooked the microscopic stages of the reproductive life cycle, which, for other anthropogenic stressors, e.g., UV-B radiation, are the most susceptible life-history phase. Also, environmental cues and stressors can cause changes in the sex ratio, which has implications for the mating system and recruitment success. Here, we report the effects of pH (7.598.50) on meiospore germination and sex determination for the giant kelp, Macrocystis pyrifera (Laminariales), in the presence and absence of additional dissolved inorganic carbon (DIC). Lowered pH (7.597.60, using HCl-only) caused a significant reduction in germination, whereas added DIC had the opposite effect, indicating that increased CO2 at lower pH ameliorates physiological stress. This finding also highlights the importance of appropriate manipulation of seawater carbonate chemistry when testing the effects of OA on photosynthetic organisms. The proportion of male to female gametophytes did not vary significantly between treatments, suggesting that pH was not a primary environmental modulator of sex. Relative to the baseline (pH 8.19), gametophytes were 32% larger under moderate OA (pH 7.86) and 10% larger under extreme OA (pH 7.61). We suggest that metabolically active cells can compensate for the acidification of seawater. This homeostatic function minimizes the negative effects of lower pH (high H+ ions) on cellular activity. The 69% reduction in germination success under extreme OA suggests that meiospores of M. pyrifera may be resistant to future OA.",84,2012,10.1111/j.1365-2486.2011.02594.x,WOS:000300671600005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,in,out,out,WoS,yes,J,"Frieder, C. A.; Nam, S. H.; Martz, T. R.; Levin, L. A.","Frieder, C. A.; Nam, S. H.; Martz, T. R.; Levin, L. A.",High temporal and spatial variability of dissolved oxygen and pH in a nearshore California kelp forest,BIOGEOSCIENCES,,"Predicting consequences of ocean deoxygenation and ocean acidification for nearshore marine ecosystems requires baseline dissolved oxygen (DO) and carbonate chemistry data that are both high-frequency and high-quality. Such data allow accurate assessment of environmental variability and present-day organism exposure regimes. In this study, scales of DO and pH variability were characterized over one year in a nearshore kelp forest ecosystem in the Southern California Bight. DO and pH were strongly, positively correlated, revealing that organisms on this upwelling shelf are not only exposed to low pH but also to low DO. The dominant scale of temporal DO and pH variability occurred on semi-diurnal, diurnal and event (days-weeks) time scales. Daily ranges in DO and pH at 7 m water depth (13 mab) could be as large as 220 mu mol kg(-1) and 0.36 units, respectively. Sources of pH and DO variation include photosynthesis within the kelp forest ecosystem, which can elevate DO and pH by up to 60 mu mol kg(-1) and 0.1 units over one week following the intrusion of high-density, nutrient-rich water. Accordingly, highly productive macrophyte-based ecosystems could serve as deoxygenation and acidification refugia by acting to elevate DO and pH relative to surrounding waters. DO and pH exhibited greater spatial variation over a 10 m increase in water depth (from 7 to 17 m) than along a 5 km stretch of shelf in a cross-shore or alongshore direction. Over a three-month time period, mean DO and pH at 17 m water depth were 168 mu mol kg(-1) and 7.87, respectively. These values represent a 35% decrease in mean DO and 37% increase in [H+] relative to near-surface waters. High-frequency variation was also reduced at depth. The mean daily range in DO and pH was 39% and 37% less, respectively, at 17m water depth relative to 7 m. As a consequence, the exposure history of an organism is largely a function of its depth of occurrence within the kelp forest. With knowledge of local alkalinity conditions and high-frequency temperature, salinity, and pH data, we estimated pCO(2) and calcium carbonate saturation states with respect to calcite and aragonite (Omega(calc) and Omega(arag)) for the La Jolla kelp forest at 7 m and 17 m water depth. pCO(2) ranged from 246 to 1016 mu atm, Omega(calc) was always supersaturated, and Omega(arag) was undersaturated at the beginning of March for five days when pH was less than 7.75 and DO was less than 115 mu mol kg(-1). These findings raise the possibility that the benthic communities along eastern boundary current systems are currently acclimatized and adapted to natural, variable, and low DO and pH. Still, future exposure of coastal California populations to even lower DO and pH may increase as upwelling intensifies and hypoxic boundaries shoal, compressing habitats and challenging the physiological capacity of intolerant species.",132,2012,10.5194/bg-9-3917-2012,WOS:000310471800014,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,control are in the kelp forest
75,in,in,in,WoS,yes,J,"Hofmann, Gretchen E.; Smith, Jennifer E.; Johnson, Kenneth S.; Send, Uwe; Levin, Lisa A.; Micheli, Fiorenza; Paytan, Adina; Price, Nichole N.; Peterson, Brittany; Takeshita, Yuichiro; Matson, Paul G.; Crook, Elizabeth Derse; Kroeker, Kristy J.; Gambi, Maria Cristina; Rivest, Emily B.; Frieder, Christina A.; Yu, Pauline C.; Martz, Todd R.","Hofmann, Gretchen E.; Smith, Jennifer E.; Johnson, Kenneth S.; Send, Uwe; Levin, Lisa A.; Micheli, Fiorenza; Paytan, Adina; Price, Nichole N.; Peterson, Brittany; Takeshita, Yuichiro; Matson, Paul G.; Crook, Elizabeth Derse; Kroeker, Kristy J.; Gambi, Maria Cristina; Rivest, Emily B.; Frieder, Christina A.; Yu, Pauline C.; Martz, Todd R.",High-Frequency Dynamics of Ocean pH: A Multi-Ecosystem Comparison,PLOS ONE,,"The effect of Ocean Acidification (OA) on marine biota is quasi-predictable at best. While perturbation studies, in the form of incubations under elevated pCO(2), reveal sensitivities and responses of individual species, one missing link in the OA story results from a chronic lack of pH data specific to a given species' natural habitat. Here, we present a compilation of continuous, high-resolution time series of upper ocean pH, collected using autonomous sensors, over a variety of ecosystems ranging from polar to tropical, open-ocean to coastal, kelp forest to coral reef. These observations reveal a continuum of month-long pH variability with standard deviations from 0.004 to 0.277 and ranges spanning 0.024 to 1.430 pH units. The nature of the observed variability was also highly site-dependent, with characteristic diel, semi-diurnal, and stochastic patterns of varying amplitudes. These biome-specific pH signatures disclose current levels of exposure to both high and low dissolved CO2, often demonstrating that resident organisms are already experiencing pH regimes that are not predicted until 2100. Our data provide a first step toward crystallizing the biophysical link between environmental history of pH exposure and physiological resilience of marine organisms to fluctuations in seawater CO2. Knowledge of this spatial and temporal variation in seawater chemistry allows us to improve the design of OA experiments: we can test organisms with a priori expectations of their tolerance guardrails, based on their natural range of exposure. Such hypothesis-testing will provide a deeper understanding of the effects of OA. Both intuitively simple to understand and powerfully informative, these and similar comparative time series can help guide management efforts to identify areas of marine habitat that can serve as refugia to acidification as well as areas that are particularly vulnerable to future ocean change.",597,2011,10.1371/journal.pone.0028983,WOS:000298665600019,field,CI,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,subtropical,North America,North Pacific Ocean,macroalgae,NA,ecological,kelp,NA,NA,NA,NA,NA,NA,NA,NA,pH,Table 2,neutral,yes,pH unit,SD,,,,,,,,,8.028,55,0.0035425,0.059518905,8.074,30,0.004,0.004,-0.046,3.56E-03,
76,out,out,out,WoS,,J,"Reeder, Brian C.","Reeder, Brian C.","Assessing constructed wetland functional success using diel changes in dissolved oxygen, pH, and temperature in submerged, emergent, and open-water habitats in the Beaver Creek Wetlands Complex, Kentucky (USA)",ECOLOGICAL ENGINEERING,,"We assessed the functional success of restored wetlands by determining if the patterns in dissolved oxygen (DO), temperature, and pH were similar to those conditions observed in natural wetlands. The Beaver Creek Wetlands Complex consists of dozens of marshes and ponds built in a former Licking River flood-plain, in the hills of east Kentucky, USA. In natural wetland ecosystems, aquatic primary production is highest in emergent and submerged vegetations zones; where daybreak dissolved oxygen (DO) is often near zero, and DO may rise to well over 100% saturation past mid-day. Open-water areas, dominated by phytoplankton, have less dramatic diel DO fluctuations-often without pre-dawn anoxia. Compared to open water, temperatures fluctuate less dramatically in vascular vegetation, due to shading and suppression of wind and waves. Measurements of ecosystem metabolism (diel changes in DO and pH) in three aquatic habitats of the constructed wetlands (emergent vegetation, submerged vegetation, open water) were compared to these natural ideals. In Beaver Creek Wetlands, water temperature patterns were not as dramatic as in natural habitats, nor did they did follow a similar trend. Waters in emergent vegetation (29.5 degrees C) were warmest; submerged vegetation coolest (26.5 degrees C); open-water intermediate (27.4 degrees C). Diel DO and pH patterns were not similar to natural habitats. Highest net primary production (NPP) and gross primary production (GPP) were measured in emergent vegetation waters (mean GPP= 7.58 g m(-2) d(-1)); lowest in submerged vegetation (mean GPP = 5.48 g m(-2) d(-1)); and intermediate in open-water (mean GPP= 6.95 g m(-2) d(-1)). Diel pH changes were greatest in the highly productive emergent waters (median maximum daily difference of 0.36), and not as pronounced in submerged vegetation and open-water (median maximum change = 0.16 and 0.22, respectively). Water-column respiration was generally about double NPP. Like natural ecosystems, near anoxic DO concentrations were consistently measured in emergent and submerged plants before dawn; whereas open-water zones were generally >4 mg l(-1). These restored wetland systems may need more time to be functionally equivalent to natural marshes. (C) 2011 Elsevier B.V. All rights reserved.",24,2011,10.1016/j.ecoleng.2011.06.018,WOS:000295303500020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,in,in,in,WoS,yes,J,"Zablocki, John A.; Andersson, Andreas J.; Bates, Nicholas R.","Zablocki, John A.; Andersson, Andreas J.; Bates, Nicholas R.",Diel Aquatic CO2 System Dynamics of a Bermudian Mangrove Environment,AQUATIC GEOCHEMISTRY,,"Mangrove ecosystems play an important, but understudied, role in the cycling of carbon in tropical and subtropical coastal ocean environments. In the present study, we examined the diel dynamics of seawater carbon dioxide (CO2) and dissolved oxygen (DO) for a mangrove-dominated marine ecosystem (Mangrove Bay) and an adjacent intracoastal waterway (Ferry Reach) on the island of Bermuda. Spatial and temporal trends in seawater carbonate chemistry and associated variables were assessed from direct measurements of dissolved inorganic carbon, total alkalinity, dissolved oxygen (DO), temperature, and salinity. Diel pCO(2) variability was interpolated across hourly wind speed measurements to determine variability in daily CO2 fluxes for the month of October 2007 in Bermuda. From these observations, we estimated rates of net sea to air CO2 exchange for these two coastal ecosystems at 59.8 +/- 17.3 in Mangrove Bay and 5.5 +/- 1.3 mmol m(-2) d(-1) in Ferry Reach. These results highlight the potential for large differences in carbonate system functioning and sea-air CO2 flux in adjacent coastal environments. In addition, observation of large diel variability in CO2 system parameters (e.g., mean pCO(2): 390-2,841 mu atm; mean pH(T): 8.05-7.34) underscores the need for careful consideration of diel cycles in long-term sampling regimes and flux estimates.",21,2011,10.1007/s10498-011-9142-3,WOS:000297739200004,field,CI,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom,subtropical,North America,North Pacific Ocean,mangrove,NA,ecological,mangrove,NA,NA,NA,NA,NA,NA,NA,NA,pH,Figure 4,neutral,yes,pH unit,SD,,,,,,,,,7.658541459,22,0.228987504,0.228987504,8.033766234,22,0.046525998,0.046525998,-0.375224775,5.46E-02,
78,out,out,out,WoS,yes,J,"Johnston, Scott G.; Keene, Annabelle F.; Bush, Richard T.; Sullivan, Leigh A.; Wong, Vanessa N. L.","Johnston, Scott G.; Keene, Annabelle F.; Bush, Richard T.; Sullivan, Leigh A.; Wong, Vanessa N. L.",Tidally driven water column hydro-geochemistry in a remediating acidic wetland,JOURNAL OF HYDROLOGY,,"Managed tidal inundation is a newly evolved technique for remediating coastal acid sulphate soil (CASS) wetlands. However, there remains considerable uncertainty regarding the hydro-geochemical pathways and spatiotemporal dynamics of residual H+ and metal(loid) mobilisation into the tidal fringe surface waters of these uniquely iron-rich landscapes. Here, we examine the hydrology and water column chemistry across the intertidal slope of a remediating CASS wetland during several tide cycles. There was extreme spatial and temporal dynamism in water column chemistry, with pH fluctuating by similar to 3 units (similar to 3.5-6.5) during a single tide cycle. Acute acidity was spatially confined to the upper intertidal slope, reflecting surface sediment properties, and tidal overtopping is an important pathway for mobilisation of residual H+ and Al3+ to the water column. Marine derived HCO3- was depleted from surface waters migrating across the intertidal slope and a strong gradient in HCO3- was observed from the tidal fringe to the adjacent tributary channel and nearby estuary. Tidal forcing generated oscillating hydraulic gradients in the shallow fringing aquifer, favouring ebb-tide seepage and driving rapid, heterogeneous advection of groundwater on the lower intertidal slope via surface connected macropores. A combination of diffusive and advective flux across the sediment-water interface led to persistent, elevated surface water Fe2+ (similar to 10-1000 mu M). The geochemical processes associated with Fe2+ mobilisation displayed distinct spatial zonation, with low pH, proton-promoted desorption occurring on the upper intertidal slope, whilst circum-neutral pH, Fe(III)-reducing processes dominated the lower intertidal slope. Arsenic was also mobilised into surface waters on the lower intertidal slope under moderate pH (similar to 6.0) conditions and was strongly positively correlated with Fe2+. Saturation index values for aragonite were substantially depressed (-1 to -5) and significantly negatively correlated with elevation, thereby presenting a barrier to re-colonisation of the upper intertidal slope by calcifying benthic organisms. These findings highlight the spatially complex hydrological and geochemical controls on surface water quality that can occur in tidally inundated acid sulphate soil environments. (C) 2011 Elsevier B.V. All rights reserved.",16,2011,10.1016/j.jhydrol.2011.08.010,WOS:000296601600011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,out,out,out,WoS,yes,J,"Perry, Steve F.; Braun, Marvin H.; Genz, Janet; Vulesevic, Branka; Taylor, Josi; Grosell, Martin; Gilmour, Kathleen M.","Perry, Steve F.; Braun, Marvin H.; Genz, Janet; Vulesevic, Branka; Taylor, Josi; Grosell, Martin; Gilmour, Kathleen M.",Acid-base regulation in the plainfin midshipman (Porichthys notatus): an aglomerular marine teleost,JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY,,"The plainfin midshipman (Porichthys notatus) possesses an aglomerular kidney and like other marine teleosts, secretes base into the intestine to aid water absorption. Each of these features could potentially influence acid-base regulation during respiratory acidosis either by facilitating or constraining HCO3 (-) accumulation, respectively. Thus, in the present study, we evaluated the capacity of P. notatus to regulate blood acid-base status during exposure to increasing levels of hypercapnia (nominally 1-5% CO2). Fish exhibited a well-developed ability to increase plasma HCO3 (-) levels with values of 39.8 +/- A 2.8 mmol l(-1) being achieved at the most severe stage of hypercapnic exposure (arterial blood PCO2 = 21.9 +/- A 1.7 mmHg). Consequently, blood pH, while lowered by 0.15 units (pH = 7.63 +/- A 0.06) during the final step of hypercapnia, was regulated far above values predicted by chemical buffering (predicted pH = 7.0). The accumulation of plasma HCO3 (-) during hypercapnia was associated with marked increases in branchial net acid excretion (J H-NET(+)) owing exclusively to increases in the titratable alkalinity component; total ammonia excretion was actually reduced during hypercapnia. The increase in J H-NET(+) was accompanied by increases in branchial carbonic anhydrase (CA) enzymatic activity (2.8x) and CA protein levels (1.6x); branchial Na+/K+-ATPase activity was unaffected. Rectal fluids sampled from control fish contained on average HCO3 (-) concentrations of 92.2 +/- A 4.8 mmol l(-1). At the highest level of hypercapnia, rectal fluid HCO3 (-) levels were increased significantly to 141.8 +/- A 7.4 mmol l(-1) but returned to control levels during post-hypercapnia recovery (96.0 +/- A 13.2 mmol l(-1)). Thus, the impressive accumulation of plasma HCO3 (-) to compensate for hypercapnic acidosis occurred against a backdrop of increasing intestinal HCO3 (-) excretion. Based on in vitro measurements of intestinal base secretion in Ussing chambers, it would appear that P. notatus did not respond by minimizing base loss during hypercapnia; the increases in base flux across the intestinal epithelium in response to alterations in serosal HCO3 (-) concentration were similar in preparations obtained from control or hypercapnic fish. Fish returned to normocapnia developed profound metabolic alkalosis owing to unusually slow clearance of the accumulated plasma HCO3 (-). The apparent inability of P. notatus to effectively excrete HCO3 (-) following hypercapnia may reflect its aglomerular (i.e., non-filtering) kidney coupled with the normally low rates of urine production in marine teleosts.",31,2010,10.1007/s00360-010-0492-8,WOS:000283139900010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,out,out,out,WoS,yes,J,"Oxmann, Julian F.; Schwendenmann, Luitgard; Lara, Ruben J.","Oxmann, Julian F.; Schwendenmann, Luitgard; Lara, Ruben J.","Interactions among phosphorus, pH and Eh in reforested mangroves, Vietnam: a three-dimensional spatial analysis",BIOGEOCHEMISTRY,,"Sediment reduction is frequently proposed to increase available phosphorus (P) but several studies found also decreases. Another important factor for P liberation is the pH. We investigated the relative importance of Eh and pH on P cycling in reforested mangroves. Sediment P compounds, pH and Eh were analysed over depth along five transects of two areas in the Saigon River Delta and compared with leaf P levels. A three-dimensional spatial approach was used to investigate pH and Eh effects on P compound distribution at different sediment depth and locate layers of predominant P uptake. Along an inundation gradient, submergence durations of 254 to 2 days per year caused a large Eh gradient within the top 20 cm, whereas Eh response was small within 20-45 cm depth. At individual layers, a correlation between Eh and Al/Fe-P was only found in the upper depth interval (0-20 cm). No significant effect of Eh or Al/Fe-P on Morgan-P (available P) was detected. Minor effects on P composition changes by the Eh were caused through generally strongly reduced sediment at deeper layers (> 20 cm). In contrast, pH variations produced extreme differences in both, Ca-P and available P content at layers of apparently predominant P uptake (> 20 cm). As available P was correlated with Ca-P (p < 0.001), leaf P (p < 0.001) and pH (non linear correlation) it is likely that the pH sensitive Ca-P fraction is a more effective source for mangrove tree growth than Al/Fe-P. The predominant pH effect on P uptake within these reforested mangroves differs from a proposed reduction-governed P cycling in wetlands.",7,2009,10.1007/s10533-009-9345-5,WOS:000270280500005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,out,out,out,WoS,,J,"Lin, Yi; Cai, Li-Xi","Lin, Yi; Cai, Li-Xi","PAH-degrading microbial consortium and its pyrene-degrading plasmids from mangrove sediment samples in Huian, China",MARINE POLLUTION BULLETIN,,"PAH-degrading microbial consortium and its pyrene-degrading plasmids were enriched from the sediment samples of Huian mangroves. The consortium YL showed degrading abilities of 92.1%, 87.6%, 92.3%, and 95.8% for pyrene, fluoranthene. phenanthrene, and fluoene at 50 mg l(-1) after 21 days incubation, respectively. The dynamics of pH changes in the cultures was consistent with that of PAH concentration change. Bacillus cereus Py5 and Bacillus megaterium Py6 were isolated from the consortium and observed consuming 65.8% and 33.7% of pyrene (50 mg l(-1)) within three weeks, respectively. The enriched Escherichia coli DH5 alpha cells containing the plasmids of YL were demonstrated to degrade 85.7% of the original pyrene concentration at the 21st day. (C) 2008 Published by Elsevier Ltd.",44,2008,10.1016/j.marpolbul.2008.03.025,WOS:000257816300060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,out,out,out,WoS,,J,"Torquemada, YF; Durako, MJ; Lizaso, JLS","Torquemada, YF; Durako, MJ; Lizaso, JLS",Effects of salinity and possible interactions with temperature and pH on growth and photosynthesis of Halophila johnsonii Eiseman,MARINE BIOLOGY,,"The effects of salinity, temperature, and pH variations on growth, survival, and photosynthetic rates of the seagrass Halophila johnsonii Eiseman were examined. Growth and survival responses to salinity were characterized by aquarium experiments in which plants were exposed to seven different salinity treatments (0, 10, 20, 30, 40, 50, and 60 psu) during 15 days. Photosynthetic behavior was assessed for short-term salinity exposures (1 or 20 h) by incubation experiments in biological oxygen demand (BOD) bottles and by measuring photosynthesis versus irradiance (PI) responses in an oxygen electrode chamber. In the bottle experiments the possible effects of interactions between salinity and temperature (15, 25, and 35 degrees C) or pH (5, 6, 7, and 8.2) were also examined. Growth and survival of H. johnsonii were significantly affected by salinity, with maximum rates obtained at 30 psu. Salinity also altered the parameters of the PI curves. Light-saturated photosynthesis (P-max) and the photosynthetic efficiency at subsaturating light (alpha) increased significantly up to an optimum of 40 psu, decreasing again at the highest salinities. Dark respiration rates and compensating irradiance (I-c) showed minimum values at 40 and 50 psu, while light-saturation point (I-k) was maximum at 30-50 psu. An interaction between salinity and temperature was not found although an increase of temperature alone produced an increase in alpha, P-max, respiration rates, and I-k. An interaction between salinity and pH was only found in the P-max response: P-max increased with pH=5 at 30 psu. In addition, reducing the pH increased alpha significantly. In the BOD bottles experiment a significant reduction in the dark respiration with decreasing pH was observed, but the opposite trend was observed in the photosynthetic rate. These results suggest that the endemic seagrass H. johnsonii could be negatively affected by hypo- or hypersalinity conditions, although salinity changes did not seem to alter the tolerance of this species to other environmental factors, such as temperature or pH.",48,2005,10.1007/s00227-005-0075-5,WOS:000233724300004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,out,out,out,WoS,,J,"Heijs, SK; van Gemerden, H","Heijs, SK; van Gemerden, H","Microbiological and environmental variables involved in the sulfide buffering capacity along a eutrophication gradient in a coastal lagoon (Bassin d'Arcachon, France)",HYDROBIOLOGIA,,"Microbiological and environmental variables involved in the removal of free sulfide were studied along an eutrophication transect in the Bassin d'Arcachon (France). At four sites, analyses were carried out on reduced sulfur compounds, iron species and total numbers of viable sulfur bacteria (sulfide-producing bacteria, colorless sulfur bacteria and purple sulfur bacteria). In addition, the chemical buffering capacity towards free sulfide and the potential microbiological sulfide oxidation rates were determined.In the ecosystem, no free sulfide occurs in the top layers of the sediment at all four sites, despite a high nutrient load and hence favourable conditions for sulfide-producing bacteria. The explanation of this apparent discrepancy was shown to be the high biological sulfide oxidizing capacity in combination with a high chemical buffering capacity.The data presented illustrate that the buffering capacity of sediments towards free sulfide is the combined result of the chemical and biological processes. The ratio between these were found to depend on the degree of eutrophication. It was shown that the chemical buffering capacity towards sulfide is severely overestimated when based on the pool of chemically reactive iron, a more realistic value is obtained by estimating the total amount of sulfide that can be added before free sulfide can be detected. A clear difference was observed between the numbers of colorless sulfur bacteria and the activity of the entire population. For a proper quantification of the sulfide buffering capacity of sediments, it is essential to estimate the concentration of iron and sulfur compounds that actually can react with sulfide, as well as to analyze the activities of sulfide-oxidizing microbes.",23,2000,10.1023/A:1026590520603,WOS:000165818100009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,out,out,out,WoS,,J,"Cai, WJ; Zhao, PS; Wang, YC","Cai, WJ; Zhao, PS; Wang, YC",pH and pCO(2) microelectrode measurements and the diffusive behavior of carbon dioxide species in coastal marine sediments,MARINE CHEMISTRY,,"The performance of a polymeric membrane-based pH microelectrode and a new pCO(2) microelectrode in marine sediments is evaluated for the purpose of collecting fine-scale and undisturbed porewater profiles of carbon dioxide parameters. Both microelectrodes have a precision of 0.01-0.02 logarithmic units. A fine-scale porewater profile of total dissolved inorganic carbon (TCO2) is calculated from the pH and pCO(2) data and is in good agreement with coarse-scale TCO2 profiles measured in squeezed porewater. The measuring uncertainty for TCO2 is within 5%. The measurements of the pH microelectrode also agree in general with those of a glass mini-electrode. The mini-electrode, however, measures smaller pH changes as a result of mixing the sediments.Very low pH values (< 6.0) are measured in this salt marsh-influenced sediment and are correlated to the oxidation of Mn2+, Fe2+, and possibly, solid sulfides. Concentration profiles and fluxes of TCO2, CO2, HCO3- and CO32- are calculated from the pH and pCO(2) data. These millimeter-scale profiles demonstrate that the calculation of benthic flux of TCO2 based on porewater TCO2 profiles and on a HCO3- (or a concentration weighted) diffusion coefficient can be erroneous. When porewater pH is very low(< 7.0) in the near-surface sediment, as is the case in many organic-rich coastal sediments, TCO2 transport is accomplished significantly through the diffusion of CO2 and can be greatly enhanced due to a sharp concentration gradient and a large diffusion coefficient of CO2. (C) 2000 Elsevier Science B.V. All rights reserved.",54,2000,10.1016/S0304-4203(00)00017-7,WOS:000087534100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
